No.,Time,Source,Destination,Protocol,Length,Info,Label,Dst_Port,Service_Name,Risk_Level,Risk_Score,Is_High_Risk,Time_Diff,Bytes_Per_Sec
51927,343.081308,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00788599999998496,9516.65414477124
51960,343.090342,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.009034000000042397,8211.079483211286
51961,343.090457,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00011499999999387,348837.2093122715
51962,343.090525,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.799999999884676e-05,446428.571431636
51999,343.093096,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0025709999999889988,28079.37102220476
52016,343.093196,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.999999997489795e-05,375000.00004706637
52017,343.093269,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,7.300000004306639e-05,433526.01145277225
52018,343.093334,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.500000000642103e-05,454545.4545277658
52019,343.093502,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0001679999999737447,279850.746296073
52020,343.093575,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,7.299999998622297e-05,433526.0115952179
52066,343.095054,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0014790000000175496,47498.41671891477
52074,343.09515,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.599999998499698e-05,382653.0612537804
52075,343.095219,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.8999999996322e-05,443786.982258179
52076,343.095366,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0001470000000267646,303643.7246634538
52077,343.095436,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,6.999999999379725e-05,441176.47060433245
52102,343.095842,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0004059999999981301,148221.34387406553
52103,343.095918,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,7.59999999786487e-05,426136.36368806
52104,343.112371,10.5.1.26,212.156.182.77,QUIC,76,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.016453000000012707,4591.312752971767
52105,343.175563,10.5.1.26,81.19.104.213,TLSv1.2,923,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.06319200000001501,14583.201668453848
52113,343.233188,10.5.1.26,81.19.104.213,TCP,54,15391  >  443 [ACK] Seq=7141 Ack=6721 Win=65535 Len=0,0,443,HTTPS,Dusuk,10.0,0,0.05762499999997317,935.4699003902139
52121,343.891354,10.5.1.26,173.194.69.188,TCP,55,[TCP Keep-Alive] 51333  >  5228 [ACK] Seq=27 Ack=25 Win=253 Len=1,0,5228,Dinamik/Gecici Port,Orta,40.0,0,0.6581659999999943,83.55284945599573
52125,344.162256,10.5.1.26,172.217.23.14,QUIC,1285,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.27090200000003506,4741.662423154936
52126,344.16249,10.5.1.26,172.217.23.14,QUIC,1292,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.00023399999997764098,3868263.473312846
52127,344.162594,10.5.1.26,172.217.23.14,QUIC,825,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.00010400000002164234,4044117.646629784
52128,344.169602,10.5.1.26,185.201.1.92,TLSv1.2,227,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.007007999999984804,31935.846933101475
52129,344.170604,10.5.1.26,192.178.24.78,TCP,1466,45484  >  443 [ACK] Seq=780382 Ack=49229 Win=255 Len=1412 [TCP PDU reassembled in 52132],0,443,HTTPS,Dusuk,10.0,0,0.001002000000028147,1330308.5299115751
52130,344.170604,10.5.1.26,192.178.24.78,TCP,1466,45484  >  443 [ACK] Seq=781794 Ack=49229 Win=255 Len=1412 [TCP PDU reassembled in 52132],0,443,HTTPS,Dusuk,10.0,0,0.0,14660000.0
52131,344.170604,10.5.1.26,192.178.24.78,TCP,1466,45484  >  443 [ACK] Seq=783206 Ack=49229 Win=255 Len=1412 [TCP PDU reassembled in 52132],0,443,HTTPS,Dusuk,10.0,0,0.0,14660000.0
52132,344.170604,10.5.1.26,192.178.24.78,TLSv1.2,381,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.0,3810000.0
52133,344.186533,10.5.1.26,192.178.24.78,TLSv1.2,658,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.015928999999971438,41050.595795194495
52138,344.217626,10.5.1.26,172.217.23.14,QUIC,75,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.031092999999998483,2404.385599333301
52142,344.235652,10.5.1.26,185.201.1.92,TCP,54,38062  >  443 [ACK] Seq=23095 Ack=23360 Win=64384 Len=0,0,443,HTTPS,Dusuk,10.0,0,0.018026000000020304,2979.1459781495923
52149,344.265123,10.5.1.26,146.75.123.9,TCP,55,[TCP Keep-Alive] 36919  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,0,443,HTTPS,Dusuk,10.0,0,0.029471000000000913,1859.9303371545873
52150,344.284804,10.5.1.26,192.178.24.78,TLSv1.2,93,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.0196809999999914,4701.481219353947
52151,344.286626,10.5.1.26,192.178.24.78,TLSv1.2,89,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.0018220000000042091,46305.93132143865
52155,344.343133,10.5.1.26,172.217.23.14,QUIC,80,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.05650700000001052,1413.252777924729
52159,344.372199,10.5.1.26,172.217.23.14,QUIC,76,"Protected Payload (KP0), DCID=f7ded0730cda361a",0,443,HTTPS,Dusuk,10.0,0,0.02906600000000026,2605.77384625932
52161,345.061269,10.5.1.26,199.165.136.100,TLSv1.2,375,Application Data,0,443,HTTPS,Dusuk,10.0,0,0.6890699999999583,544.13279742302
52164,345.227504,10.5.1.26,107.167.110.211,TCP,54,"58930  >  443 [RST, ACK] Seq=1357 Ack=5221 Win=0 Len=0",0,443,HTTPS,Dusuk,10.0,0,0.16623500000002878,324.64604563074914
52165,345.227961,10.5.1.26,172.217.21.226,TCP,66,42094  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0,443,HTTPS,Dusuk,10.0,0,0.0004569999999830543,118491.92100899089
52168,345.251653,10.5.1.26,172.217.21.226,TCP,54,42094  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0,0,443,HTTPS,Dusuk,10.0,0,0.023691999999982727,2269.670477473067
52169,345.258395,10.5.1.26,172.217.21.226,TLSv1.3,571,Client Hello (SNI=googleads.g.doubleclick.net),0,443,HTTPS,Dusuk,10.0,0,0.006742000000031112,83455.1300785448
