"No.","Time","Source","Destination","Protocol","Length","Info"
"208","10.636447","10.5.1.26","52.110.17.42","TCP","54","43174  >  443 [ACK] Seq=944 Ack=298 Win=261632 Len=0"
"209","10.657800","10.5.1.26","52.110.17.42","TLSv1.3","134","Change Cipher Spec, Application Data"
"210","10.657992","10.5.1.26","52.110.17.42","TLSv1.3","134","Application Data"
"211","10.662048","10.5.1.26","52.110.17.42","TCP","1506","43174  >  443 [ACK] Seq=1104 Ack=298 Win=261632 Len=1452 [TCP PDU reassembled in 212]"
"212","10.662048","10.5.1.26","52.110.17.42","TLSv1.3","716","Application Data"
"213","10.701963","52.110.17.42","10.5.1.26","TCP","54","443  >  43174 [ACK] Seq=298 Ack=1104 Win=64256 Len=0"
"214","10.701963","52.110.17.42","10.5.1.26","TLSv1.3","529","Application Data"
"215","10.701963","52.110.17.42","10.5.1.26","TLSv1.3","116","Application Data"
"216","10.702181","10.5.1.26","52.110.17.42","TCP","54","43174  >  443 [ACK] Seq=3218 Ack=835 Win=261120 Len=0"
"217","10.703488","10.5.1.26","52.110.17.42","TLSv1.3","85","Application Data"
"218","10.706824","52.110.17.42","10.5.1.26","TLSv1.3","85","Application Data"
"219","10.706931","10.5.1.26","52.110.17.42","TCP","54","43174  >  443 [ACK] Seq=3249 Ack=866 Win=261120 Len=0"
"220","10.817863","52.110.17.42","10.5.1.26","TCP","54","443  >  43174 [ACK] Seq=866 Ack=3249 Win=65280 Len=0"
"221","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","1419","Application Data"
"222","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","95","Application Data"
"223","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","378","Application Data"
"224","10.842010","52.110.17.42","10.5.1.26","TCP","1506","443  >  43174 [ACK] Seq=2596 Ack=3249 Win=65280 Len=1452 [TCP PDU reassembled in 226]"
"225","10.842010","52.110.17.42","10.5.1.26","TCP","1506","443  >  43174 [ACK] Seq=4048 Ack=3249 Win=65280 Len=1452 [TCP PDU reassembled in 226]"
"226","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","978","Application Data"
"227","10.842010","52.110.17.42","10.5.1.26","TCP","1506","443  >  43174 [ACK] Seq=6424 Ack=3249 Win=65280 Len=1452 [TCP PDU reassembled in 229]"
"228","10.842010","52.110.17.42","10.5.1.26","TCP","1506","443  >  43174 [ACK] Seq=7876 Ack=3249 Win=65280 Len=1452 [TCP PDU reassembled in 229]"
"229","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","1277","Application Data"
"230","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","91","Application Data"
"231","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","150","Application Data"
"232","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","95","Application Data"
"233","10.842010","52.110.17.42","10.5.1.26","TLSv1.3","85","Application Data"
"234","10.842368","10.5.1.26","52.110.17.42","TCP","54","43174  >  443 [ACK] Seq=3249 Ack=10756 Win=262144 Len=0"
"235","10.858918","10.5.1.26","40.126.53.9","TCP","66","43175  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"236","10.968583","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"237","10.970054","40.126.53.9","10.5.1.26","TCP","66","443  >  43175 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
